user_prompt,generated_expectations
For field 'image_url': Ensure the field matches the type 'text'. Ensure the field matches the format 'URL'. Ensure this field exists.,"expect_column_to_exist(column=""image_url"")
                                    expect_column_values_to_be_of_type(column=""image_url"", type_=""text"")
                                    expect_column_values_to_match_regex(column=""image_url"", regex=r""^(http|https)://[^\s/$.?#].[^\s]*$"")"
For field 'ip_address': Ensure the field matches the type 'text'. Ensure the field matches the format 'IPv4'. Ensure this field exists.,"expect_column_to_exist(column=""ip_address"")
                                    expect_column_values_to_be_of_type(column=""ip_address"", type_=""text"")
                                    expect_column_values_to_match_regex(column=""ip_address"", regex=r""^(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.((25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){2}(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)$"")"
For field 'response_time': Ensure the field matches the type 'decimal'. Ensure the field contains values less than or equal to 1000. Ensure this field exists.,"expect_column_to_exist(column=""response_time"")
                                    expect_column_values_to_be_of_type(column=""response_time"", type_=""decimal"")
                                    expect_column_values_to_be_less_than(column=""response_time"", value=1000)"
For field 'parent_category': Ensure the field matches the type 'text'. Ensure values in (parent_category) must exist in categories (category_name). Ensure this field exists.,"expect_column_to_exist(column=""parent_category"")
                                    expect_column_values_to_be_of_type(column=""parent_category"", type_=""text"")
                                    expect_column_values_to_be_in_set(column=""parent_category"", value_set=category_name)"
For field 'discount_code': Ensure the field matches the type 'text'. Ensure the field has unique values. Ensure this field exists.,"expect_column_to_exist(column=""discount_code"")
                                    expect_column_values_to_be_of_type(column=""discount_code"", type_=""text"")
                                    expect_column_values_to_be_unique(column=""discount_code"")"
For field 'region_name': Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""region_name"")
                                    expect_column_values_to_be_of_type(column=""region_name"", type_=""text"")"
For field 'payment_reference': Ensure the field matches the type 'text'. Ensure the field contains unique values. Ensure this field exists.,"expect_column_to_exist(column=""payment_reference"")
                                    expect_column_values_to_be_of_type(column=""payment_reference"", type_=""text"")
                                    expect_column_values_to_be_unique(column=""payment_reference"")"
For field 'customer_feedback': Ensure the field matches the type 'text'. Ensure the field has a maximum length of 1000. Ensure this field exists.,"expect_column_to_exist(column=""customer_feedback"")
                                    expect_column_value_lengths_to_be_between(column=""customer_feedback"", min_value=0, max_value=1000)
                                    expect_column_values_to_be_of_type(column=""customer_feedback"", type_=""text"")"
For field 'transaction_fee': Ensure the field matches the type 'decimal'. Ensure the field contains values greater than or equal to 0. Ensure this field exists.,"expect_column_to_exist(column=""transaction_fee"")
                                    expect_column_values_to_be_of_type(column=""transaction_fee"", type_=""decimal"")
                                    expect_column_values_to_be_between(column=""transaction_fee"", min_value=0, max_value=None)"
For field 'shipment_weight': Ensure the field matches the type 'decimal'. Ensure the field contains values greater than 0. Ensure this field exists.,"expect_column_to_exist(column=""shipment_weight"")
                                    expect_column_values_to_be_of_type(column=""shipment_weight"", type_=""decimal"")
                                    expect_column_values_to_be_between(column=""shipment_weight"", min_value=0, max_value=None)"
For field 'vendor_rating': Ensure the field matches the type 'decimal'. Ensure the field contains values between 0.0 and 5.0. Ensure this field exists.,"expect_column_to_exist(column=""vendor_rating"")
                                    expect_column_values_to_be_of_type(column=""vendor_rating"", type_=""decimal"")
                                    expect_column_values_to_be_between(column=""vendor_rating"", min_value=0.0, max_value=5.0)"
For field 'tracking_url': Ensure the field matches the type 'text'. Ensure the field matches the format 'URL'. Ensure this field exists.,"expect_column_to_exist(column=""tracking_url"")
                                    expect_column_values_to_be_of_type(column=""tracking_url"", type_=""text"")
                                    expect_column_values_to_match_regex(column=""tracking_url"", regex=r""^(http|https)://[^\s/$.?#].[^\s]*$"")"
For field 'currency': Ensure the field matches the type 'text'. Ensure the field matches the format 'ISO 4217'. Ensure this field exists.,"expect_column_to_exist(column=""currency"")
                                    expect_column_values_to_be_of_type(column=""currency"", type_=""text"")
                                    expect_column_values_to_match_regex(column=""currency"", regex=r""^[A-Z]{3}$"")"
For field 'user_age': Ensure the field is required (not null). Ensure the field matches the type 'integer'. Ensure the field contains values greater than 18. Ensure this field exists.,"expect_column_to_exist(column=""user_age"")
                                    expect_column_values_to_not_be_null(column=""user_age"")
                                    expect_column_values_to_be_of_type(column=""user_age"", type_=""int"") 
                                    expect_column_values_to_be_between(column=""user_age"", min_value=18, max_value=None)"
For field 'registration_date': Ensure the field matches the type 'date'. Ensure the field contains values less than or equal to the current date. Ensure this field exists.,"expect_column_to_exist(column=""registration_date"")
                                    expect_column_values_to_be_of_type(column=""registration_date"", type_=""date"")
                                    expect_column_values_to_be_between(column=""registration_date"", min_value=None, max_value=""current_date"")"
For field 'is_active': Ensure the field matches the type 'boolean'. Ensure this field exists.,"expect_column_to_exist(column=""is_active"")
                                    expect_column_values_to_be_of_type(column=""is_active"", type_=""boolean"")"
Ensure values in the `user_id` column are unique.,"expect_column_values_to_be_unique(column=""user_id"")"
Ensure the `email_address` column has no null values.,"expect_column_values_to_not_be_null(column=""email_address"")"
Ensure the `optional_field` column has only null values.,"expect_column_values_to_be_null(column=""optional_field"")"
Ensure the `age` column contains values of type `integer`.,"expect_column_values_to_be_of_type(column=""age"", type_=""integer"")"
"Ensure the `status` column values are one of the types: `text`,","expect_column_values_to_be_in_type_list(column=""status"", type_list=[""text""])"
"Ensure the `country_code` column contains values within the set `['US', 'CA', 'MX']`.","expect_column_values_to_be_in_set(column=""country_code"", value_set=['US', 'CA', 'MX'])"
"Ensure the `age` column does not contain values in the set `[999, -1]`.","expect_column_values_to_not_be_in_set(column=""age"", value_set=[999, -1])"
Ensure the `score` column values are between 0 and 100.,"expect_column_values_to_be_between(column=""score"", min_value=0, max_value=100)"
Ensure the `transaction_date` column values are monotonically increasing.,"expect_column_values_to_be_increasing(column=""transaction_date"")"
Ensure the `invoice_number` column values are monotonically decreasing.,"expect_column_values_to_be_decreasing(column=""invoice_number"")"
"Ensure the `category` column contains only distinct values matching `['Electronics', 'Apparel']`.","expect_column_distinct_values_to_equal_set(column=""category"", value_set=['Electronics', 'Apparel'])"
"Ensure the `product_code` column contains at least these values: `['A1', 'B2']`.","expect_column_values_to_contain_set(column=""product_code"", value_set=[""A1"", ""B2""])"
Ensure the mean of the `order_amount` column is between 100 and 500.,"expect_column_mean_to_be_between(column=""order_amount"", min_value=100, max_value=500)"
Ensure the median of the `rating` column is between 3 and 4.,"expect_column_median_to_be_between(column=""rating"", min_value=3, max_value=4)"
Ensure the standard deviation of the `sales` column is between 10 and 50.,"expect_column_stdev_to_be_between(column=""sales"", min_value=10, max_value=50)"
